,Sponsor,Title,Summary,Start_Year,Start_Month,Phase,Enrollment,Status,Condition,Start_Month_Name,Start_Year_Period,Enrolled_Participants
1721,Sanofi,"A Randomized, Open-label, 2-treatment Crossover Study of a New Formulation of Insulin Glargine Comparing to Lantus® on 24-hour Glucose Profile in Japanese Patients With Type 1 Diabetes Mellitus on Treatment With Basal-bolus Insulin","Primary Objective: - To compare the 24-hour glycemic profile in continuous glucose monitoring (CGM) between a new formulation of insulin glargine and Lantus at steady state Secondary Objectives: - To compare the change of Fasting plasma glucose (FPG), Self-monitoring plasma glucose (SMPG) and Postprandial Plasma Glucose (PPG) between the 2 treatments; - To compare the efficacy of the 2 treatments on glycemic control in glycemic parameters (1,5-anhydroglucitol and hemoglobin A1c (glycosylated hemoglobin; HbA1c)); - To compare the occurrence of hypoglycemia between the 2 treatments; - To assess the safety and tolerability of a new formulation of insulin glargine.",2012,9,Phase 1,20,Completed,"Diabetes Mellitus, Type 1",September,2011-2015,<50
1722,Gilead,"A Phase 3, Multicenter, Randomized, Active-Controlled Study to Investigate the Safety and Efficacy of PSI-7977 and Ribavirin for 12 Weeks Compared to Pegylated Interferon and Ribavirin for 24 Weeks in Treatment-Naïve Patients With Chronic Genotype 2 or 3 HCV Infection","This study was to assess the safety and efficacy of sofosbuvir (GS-7977; PSI-7977) in combination with ribavirin (RBV) administered for 12 weeks compared with pegylated interferon (PEG)/RBV administered for 24 weeks in treatment-naive patients with Hepatitis C (HCV) genotype 2 or 3. Efficacy was assessed by the rate of sustained viral response (SVR) 12 weeks after the discontinuation of therapy (SVR12). This was a non-inferiority study, and if non-inferiority was demonstrated, the study was then allowed to test for superiority.",2011,12,Phase 3,527,Completed,Hepatitis C,December,2011-2015,500-999
1724,Sanofi,Immunogenicity and Safety of a Tetravalent Dengue Vaccine Administered Concomitantly or Sequentially With Adacel® in Healthy Subjects Aged 9 to 60 Years in the Philippines,"The aim of the study is investigate the immunogenicity and safety of CYD dengue vaccine and Tdap vaccine when both vaccines are administered concomitantly or sequentially. Primary Objectives: - To demonstrate the non-inferiority of the humoral immune response to the Tdap booster dose concomitantly administered with the first dose of CYD dengue vaccine as compared to sequential administration, measured 28 days after Tdap booster dose - To demonstrate the non-inferiority of the humoral immune response to the first dose of CYD dengue vaccine concomitantly administered with Tdap as compared to sequential administration, measured 28 days after the first dose of CYD dengue vaccine. Secondary Objectives: - To demonstrate the non-inferiority of the humoral immune response of 3 doses of CYD dengue vaccine with the first dose concomitantly administered with Tdap as compared to sequential administration, measured 28 days after the third dose of CYD dengue vaccine. - To describe the humoral immune response at baseline and 28 days after the first and third doses of CYD dengue vaccine, in each and any group. - To describe the humoral immune response of Tdap vaccine at baseline and 28 days after concomitant administration with the first dose of CYD dengue vaccine as compared to the sequential administration, in each and any group. - To describe the safety of the CYD dengue vaccine and of the Tdap booster dose after each and any injection in each group.",2016,12,Phase 3,688,"Active, not recruiting",Dengue,December,2016-2020,500-999
1725,Novartis,"A Phase Ⅲb, Multicenter, Double-blind, Randomized, Controlled Trial, to Assess the Efficacy and Safety of Indacaterol (150㎍ o.d.) vs. Placebo, in Patients With Moderate-to-severe COPD With Destroyed Lung by Tuberculosis",This clinical study will assess efficacy and safety of indacaterol (150㎍ o.d.) in patients with Chronic Obstructive Pulmonary Disease (COPD) with destroyed lung by tuberculosis.,2013,2,Phase 3,136,Completed,Tuberculosis,February,2011-2015,100-499
1726,GSK,"A Multi Centre, Randomised, Open Label, Cross-over Study to Evaluate the Percentage of False Negative Osteoporosis Diagnosis's Using the Standard Case-finding Procedure as Described by the Dutch Institute for Healthcare (CBO) and to Determine the Preference of Adult Osteoporosis Patients Between Once Monthly Dosing of Ibandronate (150 mg) and Once Weekly Dosing of Alendronate (70 mg)",This is a two part study (screening and treatment). The first part (screening) is designed to evaluate the percentage of patients missed in diagnosing osteoporosis by general practitioners (GP's). The second part (treatment) is designed to determine the preference by patients for the once monthly ibandronate or the once weekly alendronate.,2005,4,Phase 4,300,Completed,Osteoporosis,April,2001-2005,100-499
1727,JNJ,"A Double-Blind, Placebo-Controlled, Randomized Three-Way Crossover Study to Investigate The Effect of Nicotine on Arousal, Standard Cognitive Tasks And Social Cognition in Young and Elderly Healthy Subjects","This study in young and elderly healthy subjects will investigate the effect of nicotine on arousal, cognitive task and social cognition after acute dose administration.",2010,5,Early Phase 1,32,Completed,Schizophrenia,May,2006-2010,<50
1728,Gilead,"A Phase 1, Randomized, Double-Blind, Placebo-Controlled Multiple Dose Trial to Assess the Safety, Tolerability, and Pharmacokinetics of GS-9411 in Healthy Volunteers","The purpose of this study is to evaluate the safety and tolerability of repeated doses of GS-9411 in healthy volunteers. GS-9411 is a sodium channel inhibitor, that may restore airway hydration and mucociliary clearance in the lung.",2009,10,Phase 1,24,Completed,Cystic Fibrosis,October,2006-2010,<50
1729,GSK,"A Phase I, Randomised, Double-blind (Sponsor Open), Placebo-Controlled Single Dose Escalation Study to Evaluate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of GSK2330811 in Healthy Subjects","GSK2330811 is a humanised monoclonal antibody, that blocks Oncostatin M (OSM), which is being developed for the treatment of inflammatory and fibrotic diseases. This first time in human study will evaluate the safety, tolerability, pharmacokinetic (PK), pharmacodynamic (PD) and immunogenicity profile of single ascending subcutaneous (s.c.) doses of GSK2330811, in healthy subjects. This study will be a randomised, double-blind (sponsor open), placebo-controlled, single centre, single dose escalation study of s.c. administrations of GSK2330811 in healthy subjects. Approximately 40 subjects will be enrolled in the study, across 5 cohorts. Each cohort is planned to consist of 8 subjects, randomised such that 6 subjects will receive GSK2330811 and 2 subjects will receive placebo. The starting dose for the study will be 0.1 milligram (mg)/kilogram (kg) s.c. single dose and the highest dose will be 6 mg/kg s.c. single dose. Subjects will be admitted to the clinical unit on the day prior to dosing (Day -1). On Day 1, each subject will receive a s.c. dose of GSK2330811 or placebo. Subjects will then remain as an in-patient until discharged on Day 8, after assessments have been performed. The duration of the study, including screening, is approximately 19 weeks for Cohorts 1 to 4 and 23 weeks for Cohort 5.",2015,4,Phase 1,41,Completed,"Scleroderma, Systemic",April,2011-2015,<50
1730,Merck,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Safety and Efficacy of MK0653 When Added to Current Regimen in Patients With Homozygous Sitosterolemia","This is an extension study for patients having unusually high absorption of non-cholesterol sterols, resulting in heart-related diseases. This study will evaluate the long term safety and the ability to lower cholesterol levels with an investigational drug.",2001,2,Phase 3,58,Completed,"Lipid Metabolism, Inborn Errors",February,2001-2005,50-99
1731,Novartis,"Prospective, Multi-center, Open lAbel, Post-appRovAl Study AImed at Characterizing the Use of LCZ696 at 97 mg Sacubitril / 103 mg Valsartan Bid in Patients With HFrEF","The primary purpose of the study was to describe the tolerability of treatment with the optimal dose of LCZ696 (97 mg sacubitril / 103 mg valsartan bid), over six (6) months, in patients with heart failure with reduced ejection fraction (HFrEF) in Canada. The study was also to describe the overall tolerability, effectiveness and safety of LCZ696 for the management of HFrEF over 12 months of treatment, as well as describe the patterns of LCZ696 up and down dose titrations occurring during the management of patients with HFrEF.",2016,3,Phase 4,302,Completed,Heart Failure,March,2016-2020,100-499
1732,Sanofi,"A Phase II, Randomized, Multicenter, Multinational, Double-Blind, Placebo-Controlled, Study of the Effect of SR57667B on Dopaminergic Nigro-Striatal Function Assessed by 18F-Dopa PET Imaging in Outpatients With Early Parkinson's Disease",- The primary objective is to study the effect of SR57667B at the dose of 4 mg/d on progression of dopaminergic nigro-striatal lesions assessed by 18F-Dopa PET imaging. - Secondary objectives are to assess the effect of SR57667B on symptomatic decline in ,2004,1,Phase 2,183,Completed,Parkinson Disease,January,2001-2005,100-499
1733,GSK,"To Assess the Safety, Reactogenicity and Immunogenicity of GSK Biologicals' Pneumococcal Conjugate Vaccine Compared to Prevenar™, Co-administered With DTPw-HBV/Hib & OPV or IPV Vaccines as a 3-dose Primary Immunization Course During the First 6 Months of Age","This study will evaluate safety, reactogenicity and immunogenicity of GSK Biologicals' pneumococcal conjugate vaccine compared to Prevenar™ when co-administered with DTPw-HBV/Hib and OPV or IPV vaccines, according to 2 different schedules: 6-10-14 weeks or 2-4-6 months of age. The study has 2 groups. - One group of subjects will receive a 3-dose primary vaccination with the GSK Biologicals' pneumococcal conjugate vaccine (three different lots will be used and randomly allocated). - The 2nd group of subjects will receive a 3-dose primary vaccination with Prevenar™. All children will receive concomitantly DTPw-HBV/Hib and OPV or IPV vaccines. This protocol posting deals with objectives & outcome measures of the primary study. The objectives & outcome measures of the Booster study are presented in a separate protocol posting (NCT number =00547248).",2006,8,Phase 3,806,Completed,Streptococcal Infections,August,2006-2010,500-999
1734,JNJ,"A Study in Early Renal Insufficiency Patients to Assess the Effect of Maintaining Three Different Hemoglobin Levels With the Use of Erythropoetin Alpha on Left Ventricular Hypertrophy and Dilation and Quality if Life; The ""Cardiac Results of Early Treatment of Anaemia (CRETA)"" Study","The purpose of this study is to assess whether maintaining hemoglobin (Hb) levels at normal or sub-normal levels with Epoetin Alfa can influence the health status, left ventricular mass and quality of life of early renal insufficiency subjects without additional safety concerns.",1999,11,Phase 3,176,Completed,Anemia,November,1996-2000,100-499
1735,Sanofi,"A Randomized, Double-Blind, Placebo-Controlled, Multi-Centre Phase III Study to Assess the Efficacy and Safety of Vandetanib (CAPRELSA™; SAR390530 (Formerly AstraZeneca ZD6474)) 300 mg in Patients With Differentiated Thyroid Cancer That Is Either Locally Advanced or Metastatic Who Are Refractory or Unsuitable for Radioiodine (RAI) Therapy.","Primary Objective: To determine the efficacy (as assessed by progression-free survival [PFS]) of vandetanib when compared to placebo in participants with differentiated thyroid cancer that is either locally advanced or metastatic who are refractory or unsuitable for radioiodine therapy. Secondary Objectives: - To determine the efficacy of vandetanib when compared to placebo in this participant population as assessed by efficacy variables including duration of response (DOR), objective response rate (ORR), change in tumour size (TS) and overall survival (OS). - To evaluate the pharmacokinetics (PK) of vandetanib in this participant population and potentially investigate any influence of participant demography and pathophysiology on vandetanib PK. - To demonstrate an improvement in time to worsening of pain (TWP) in participants treated with vandetanib when compared to placebo in this participant population. - To evaluate the safety and tolerability of vandetanib treatment in this participant population.",2013,9,Phase 3,243,"Active, not recruiting",Thyroid Diseases,September,2011-2015,100-499
1736,Roche,"An Open-Label, Multinational, Multicenter, Phase IIIb Study With Subcutaneous Administration of Trastuzumab in Patients With HER2-Positive Early Breast Cancer to Evaluate Patient Satisfaction","This Phase IIIb, open-label, multinational, multicenter study will evaluate the participant's satisfaction and safety with subcutaneously administered trastuzumab in participants with HER2-positive early breast cancer. Participants will receive trastuzumab 600 milligrams (mg) administered subcutaneously every 3 weeks in the adjuvant or neo-adjuvant plus adjuvant setting for 18 cycles (1 year), unless disease progression or unacceptable toxicity occurs. The trastuzumab regimen could include mono- and/or combination therapy.",2014,2,Phase 3,174,"Active, not recruiting",Breast Neoplasms,February,2011-2015,100-499
1737,Novartis,"A 4-Week, Multicentre, Randomized, Double-Blind, Placebo Controlled, Double Dummy, Parallel Group Study, to Assess the Effect of Lumiracoxib 100 mg o.d. and Ibuprofen 600 mg t.i.d on 24-Hour Blood Pressure Profile and on Urinary Excretions of Eicosanoids, in Osteoarthritis Patients With Controlled Hypertension","This randomized study will compare the effect of lumiracoxib, ibuprofen and placebo on 24-hour blood pressure profile and on urinary excretions of eicosanoids in controlled hypertensive patients who have osteoarthritis.",2006,11,Phase 4,78,Completed,Osteoarthritis,November,2006-2010,50-99
1738,Merck,Evaluation of Continuous Glucose Monitoring as a Tool to Measure Glucoregulatory Effects of a Twice Daily Oral Insulin Secretagogue,"This trial will attempt to develop the use of Continuous Glucose Monitoring (CGM) as a tool for the evaluation of both new and existing pharmacological treatments for type 2 diabetes, using the twice daily administered dipeptidyl peptidase-4 (DPP4) inhibitor, vildagliptin as a probe. The primary hypothesis is that two weeks of treatment with 50 mg of oral Vildagliptin, twice daily will lead to a statistically significant decrease in 24 hour weighted-mean glucose (WMG) relative to placebo.",2011,12,Phase 1,25,Completed,Diabetes Mellitus,December,2011-2015,<50
1739,Sanofi,"Phase III Randomized Trial of Concomitant Radiation, Cisplatin, and Tirapazamine Versus Concomitant Radiation and Cisplatin in Patients With Advanced Head and Neck Cancer","The trial will compare the efficacy and safety of concomitant chemoradiation with tirapazamine, cisplatin and radiation versus cisplatin and radiation.",2002,10,Phase 3,861,Completed,Head and Neck Neoplasms,October,2001-2005,500-999
1740,JNJ,Comparison of Transdermal Fentanyl PCA and IV Morphine PCA in the Management of Postoperative Pain Control,The purpose of this study is to evaluate the effectiveness and safety of a patient-controlled system to deliver fentanyl compared with a patient-controlled intravenous system to deliver morphine in the management of postoperative pain.,2004,6,Phase 4,657,Completed,"Pain, Postoperative",June,2001-2005,500-999
1741,GSK,"A Double Blind, Placebo Controlled, Repeat Dose Study to Compare the Effectiveness of Two Doses of GSK256066 With Placebo in Reducing Lung Inflammation Following Segmental LPS Challenge in Healthy Volunteers","The proposed study will examine the effect of pre-treatment with inhaled GSK256066 using a lung inflammation model induced by bronchoscopic instillation of bacterial endotoxin (lipopolysaccharide, LPS) in healthy volunteers.Data from this study will be used to support GSK256066 dose selection for future studies in COPD patients.",2007,9,Phase 1,37,Completed,"Pulmonary Disease, Chronic Obstructive",September,2006-2010,<50
1742,GSK,"A Phase II/III, Observer-blind, Multi-Country, Multi-Centre, Randomized Study to Demonstrate the Superiority in Terms of Immunogenicity of Adjuvanted Influenza Vaccine Administered in Adults Aged 50 Years and Older Compared to Fluarix™",The study is designed to demonstrate a meaningful difference in immunogenicity between the candidate adjuvanted vaccine compared to the licensed Fluarix vaccine in subjects aged 50 years and above. A control group in younger adults aged 18 to 40 years was included.,2006,9,Phase 2,3350,Completed,"Influenza, Human",September,2006-2010,1K-5K
1743,Sanofi,"A Prospective, Randomised, Double-Blind, Placebo-Controlled Phase III Study of Modafinil to Improve Fatigue and Quality of Life in Patients Treated With Docetaxel-Based Chemotherapy for Metastatic Breast or Prostate Cancer","The primary objective is: - To determine the efficacy of modafinil in the reduction of fatigue in patients with metastatic breast or prostate cancer undergoing docetaxel-based chemotherapy The secondary objectives are: - To determine the effect of modafinil on quality of life (QoL) during docetaxel-based chemotherapy - To determine the effect of modafinil on patients physical activity level, functional status, number of chemotherapy cycles tolerated, sleep disturbance and depression, during docetaxel-based chemotherapy - To investigate the impact of tumour type, patient physical activity level, functional status, sleep disturbance and depression on the efficacy of modafinil at improving fatigue and quality of life during docetaxel-based chemotherapy. - To determine the safety and tolerability of modafinil during docetaxel-based chemotherapy",2009,6,Phase 3,84,Completed,Prostatic Neoplasms,June,2006-2010,50-99
1744,Pfizer,A Phase 2 Efficacy And Safety Study Of SU011248 In Combination With Trastuzumab As Treatment For Metastatic Disease In Patients With Breast Cancer,The current study is to evaluate: Overall response rate for the combination of trastuzumab and SU011248 in metastatic or locally recurrent breast cancer; evaluate safety and tolerability of the combination; measure duration of tumor control and survival; assess patient reported outcomes; assess PK in combination with trastuzumab and compare efficacy and safety.,2006,2,Phase 2,60,Completed,Breast Neoplasms,February,2006-2010,50-99
1745,JNJ,"A Phase III, Randomized, Double-Blind, Placebo-Controlled Study to Investigate the Efficacy, Pharmacokinetics, Safety and Tolerability of TMC435 vs. Placebo as Part of a Treatment Regimen Including Peginterferon Alfa-2a and Ribavirin in Treatment-Naïve, Genotype 1 Hepatitis C-Infected Subjects",The purpose of this study is to provide confirmatory efficacy and safety data of TMC435 as part of a treatment regimen including peginterferon-alpha (PegIFNα-2a) and ribavirin (RBV) in patients with genotype 1 Hepatitis C virus (HCV) infection.,2012,11,Phase 3,457,Completed,Hepatitis,November,2011-2015,100-499
1746,GSK,"A Double-blind, Randomized, Placebo-controlled, Repeat Dose Study to Compare the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of GSK189075 With GW869682 in Subjects With Type 2 Diabetes Mellitus","This is a study to compare the safety, blood concentrations, and effects of GSK189075, GW869682, and placebo when dosed for 2-weeks by mouth to patients with type 2 diabetes.",2006,1,Phase 2,45,Completed,"Diabetes Mellitus, Type 2",January,2006-2010,<50
1747,Sanofi,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Fixed-Dose, Multicenter Study of Weight-Reducing Effect and Safety in Obese Patients With Type 2 Diabetes",To assess the effect on weight loss and weight maintenance over a period of one year when prescribed with a hypocaloric diet in obese patients with Type 2 Diabetes,2001,10,Phase 3,1045,Completed,Obesity,October,2001-2005,1K-5K
1748,Pfizer,"A Randomized, Multicenter, Long Term Study of the Safety of Tanezumab in Patients With Chronic Low Back Pain","The purpose of this study is to investigate the safety and efficacy of tanezumab for chronic low back pain. Patients who were randomized and treated with study medication in a previous chronic low back pain ""parent"" study will be eligible to enroll in this safety extension study at the Preferred Rollover Time Point visit or at the Early Termination visit of the parent study upon discontinuation due to lack of efficacy.",2009,8,Phase 2/Phase 3,849,Terminated,Low Back Pain,August,2006-2010,500-999
1749,Bayer,"A Randomized, Double-blind, Double-dummy, Single-dose, Parallel Group, Multicenter Study to Compare the Antipyretic Efficacy of Acetylsalicy-lic Acid 500 mg and 1,000 mg (2 x 500 mg) and Paracetamol 500 mg and 1,000 mg (2 x 500 mg) With Placebo in Patients With Acute Febrile Upper Respiratory Tract Infections Suspected to be of Viral Origin.","This study is addressed to patients suffering from an acute febrile upper respiratory tract infection suspected to be of viral origin. The purpose of this study is to determine the antipyretic efficacy (reduction of fever by lowering the body temperature from a raised state) of Aspirin in doses of 500 and 1000 mg (study medication) compared to the one of Paracetamol in doses of 500 and 1000 mg (comparator medication) as well as the one of Placebo (comparator medication without an active substance). Despite of its common use for fever treatment, the scientific data in adults which support the antipyretic efficacy of Aspirin are sparse. Therefore, the purpose of this study is to collect such data.",2003,11,Phase 4,392,Completed,Respiratory Tract Infections,November,2001-2005,100-499
1750,GSK,"An Open-label, Non-randomized, 52-Week Study to Evaluate Treatment Holidays and Rebound Phenomenon After Treatment With Belimumab 10 mg/kg in Systemic Lupus Erythematosus Subjects",This study will assess the effect of a 24-week withdrawal followed by a 28-week reintroduction of belimumab 10 mg/kg plus standard of care medications in subjects with stable low systemic lupus erythematosus (SLE) disease activity. Rebound phenomenon will be assessed for subjects who have permanently withdrawn from further belimumab treatment.,2014,5,Phase 3,163,"Active, not recruiting","Lupus Erythematosus, Systemic",May,2011-2015,100-499
1751,Novartis,"An Open-label, Non-randomized Extension Study to Evaluate the Long Term Safety, Tolerability, Efficacy and Pharmacokinetics of CDZ173 in Patients With APDS/PASLI (Activated Phosphoinositide 3-kinase Delta Syndrome/p110δ-activating Mutation Causing Senescent T Cells, Lymphadenopathy and Immunodeficiency)","This study is designed to provide long-term CDZ173 treatment, a selective PI3Kδ inhibitor, to the patients with genetically activated PI3Kδ, i.e., patients with APDS/PASLI who participated in the CCDZ173X2201 study or who were treated previously with PI3Kδ inhibitors other than CDZ173. The study is open-label designed to establish the long-term safety, tolerability, efficay and pharmacokinetics of CDZ173 in the target population.",2016,9,Phase 2/Phase 3,42,Recruiting,Syndrome,September,2016-2020,<50
1752,Novartis,Letrozole in the Treatment of 1st and 2nd Line Hormone Receptor Positive Breast Cancer: Pre-therapeutic Risk Assessment,"The course of the disease in female patients with metastatic mammary carcinoma can vary greatly. In this connection, the individual prognosis depends on a complex interaction of tumor- and patient-related factors. To take account of such differences, it is necessary to employ individual methods of treatment which are suited to the course of each patient's disease. Prof. Possinger and Dr. Schmid (Charite Berlin) and Prof. Wischnewsky (University of Bremen) have developed an approach that can help to achieve this goal with the aid of computerized machine learning techniques (MLT). The use of machine learning methods can be beneficial in oncology in two respects. On the one hand, an attempt can be made to individually estimate clinically relevant parameters like, for example, the recurrence probability or expected survival time as precisely as possible based on the established prognostic factors. And on the other hand, it may be possible with the aid of MLT to understand structural relationships between the clinical result and measured or established tumor-/patient-related variables. To analyze the possible benefits of machine learning techniques for patients with metastatic breast cancer, the aim of study FEM-D-2 is to investigate whether it is possible to characterize those patients who either do or do not respond to a specific treatment with a precision of 90%, prospectively estimate the time until worsening of the disease under a given treatment, and classify patients in groups with favorable and poor chances of medium-term survival. The use of inductive learning algorithms with machine learning also makes it possible to very accurately estimate the time until progression of the tumor growth. In patients who respond to letrozole therapy, the time until tumor progression depends on factors like pain, age, body mass index, disease-free interval, main localization of metastatic spread, and response to previous estrogen therapy. Only very minimal differences are found when comparing the actual time until progression of the disease and that calculated by the system (at least for survival times < 1 year). Furthermore, using machine learning techniques it has become possible to use initial data assessed before a letrozole treatment to estimate the survival time and distinguish patients with a high risk of dying soon from other patients with a more favorable prognosis.",2002,4,Phase 4,13,Terminated,Breast Neoplasms,April,2001-2005,<50
1753,Pfizer,A Phase 2 Study Of Inotuzumab Ozogamicin (Cmc-544) In Subjects With Indolent Non-hodgkin's Lymphoma (Nhl) That Is Refractory To Or Has Relapsed After Rituximab And Chemotherapy Or Radioimmunotherapy,"The purpose of this study is to evaluate the efficacy of inotuzumab ozogamicin (CMC-544) in subjects with indolent Non-Hodgkins lymphoma (NHL) that is refractory or has relapsed after multiple therapies including rituximab or radioimmunotherapy. The investigational drug will be given to subjects with indolent NHL by intravenous infusion at a dose of 1.8 mg/m2, every 4 weeks.",2009,7,Phase 2,81,Completed,Lymphoma,July,2006-2010,50-99
1754,Bayer,"A Randomized, Double Blind, Double Dummy, Parallel Group, Multi-center Study to Investigate the Time to Onset of Action of 10 mg and 20 mg of Vardenafil Compared to Placebo in Males With Erectile Dysfunction.",This purpose of the study was to evaluate the earliest time to onset of action in adults with erectile dysfunction (often called impotence). In this study vardenafil has been compared to placebo. Patients were asked to fill in questionnaires and a diary in which they filled in details about attempts at sexual activity during study period. Patients received also a stopwatch to record the time of onset of erection. Stopwatch should be started immediately prior to initiating sexual activity and stopped when an erection perceived to be adequate for penetration was obtained.,2003,6,Phase 3,732,Completed,Erectile Dysfunction,June,2001-2005,500-999
1755,Pfizer,"An Ascending Single Dose Study Of The Safety, Tolerability, Pharmacokinetics, And Pharmacodynamics Of Sbi-087 Administered To Subjects With Systemic Lupus Erythematosus.","The purpose of this study is to determine the safety, tolerability, pharmacokinetics (PK), and pharmacodynamics (PD) of SBI-087 in subjects with Systemic Lupus Erythematosus (SLE).",2009,3,Phase 1,30,Completed,"Lupus Erythematosus, Systemic",March,2006-2010,<50
1756,Novartis,"A Phase II, Multi-centre Study Investigating the Safety and Efficacy of Ofatumumab and Bendamustine Combination in Patients With Untreated or Relapsed Chronic Lymphocytic Leukaemia (CLL)","This is a Phase II, open label, single arm, multi-centre study investigating the safety and efficacy of ofatumumab plus bendamustine in subjects with untreated or relapsed CLL. Each subject from the screening phase who is willing to participate in the study and is found eligible according to the inclusion and exclusion criteria will enter the treatment phase and will receive a maximum of 6 Cycles of study treatment (ofatumumab plus bendamustine). All subjects will receive 3 Cycles of study treatment (Cycles 1, 2 and 3). Eligibility to receive study treatment for Cycles 4, 5 and 6 will be assessed following the 3rd Cycle. Subjects who have achieved at least stable disease with acceptable toxicity following 3 Cycles of treatment will be eligible to continue to receive study treatments for a maximum of 3 further Cycles. In case of progressive disease, at, or at any time after the start of Cycle 4, subjects must discontinue further study treatment and move into the study's follow-up period. During the treatment phase, all eligible subjects will be allocated to receive the following study treatments: 1. Subjects with Untreated CLL: Up to 6 monthly intravenous infusions of ofatumumab (Cycle 1: 300 mg Day 1 and 1000 mg Day 8; subsequent Cycles: 1000 mg at Day 1 every 28 Days) in combination with up to 6 Cycles of intravenously infused bendamustine (90 mg/m2, Days 1 and 2, every 28 Days). 2. Subjects with Relapsed CLL: Up to 6 monthly intravenous infusions of ofatumumab (Cycle 1: 300 mg Day 1 and 1000 mg Day 8; subsequent Cycles: 1000 mg at Day 1 every 28 Days) in combination with up to 6 Cycles of intravenously infused bendamustine (70 mg/m2, Days 1 and 2, every 28 Days). The studies primary endpoint is overall response rate (ORR) as determined by Investigator evaluation. The ORR is the percentage of subjects achieving an objective response (i.e., partial response or better), using the IWCLL updated NCI-WG guidelines. Response assessments are planned at the following time-points: After 3 Cycles of ofatumumab plus bendamustine treatment, after 6 Cycles of ofatumumab plus bendamustine treatment and after the last dose, if not after 6 cycles, of ofatumumab plus bendamustine treatment. Follow-up assessments will be performed every 3 months following the last study treatment. The follow-up period will last for a maximum of 3 years. Response evaluation assessments to determine subject response or progression will be performed during the follow-up period, according to the IWCLL updated NCI-WG guidelines. Following progression, only survival status and details concerning the subject's next CLL therapy will be recorded.",2012,3,Phase 2,99,Completed,"Leukemia, Lymphocytic, Chronic, B-Cell",March,2011-2015,50-99
1757,Pfizer,"A Multi-centre, Randomized, Open-label, Study to Compare Conversion From Calcineurin Inhibitors to Rapamune Versus Standard Therapy in Established Renal Allograft Recipients on Maintenance Therapy With Mild to Moderate Renal Insufficiency.",The purpose of the study is to determine the effect of conversion from calcineurin inhibitor based therapy to Rapamune based therapy in patients with mild to moderate renal insufficiency.,2002,1,Phase 3,190,Completed,Renal Insufficiency,January,2001-2005,100-499
1758,Sanofi,"Sodium Hyaluronate for Treatment of Chronic Painful Shoulder With Limitation of Motion Due to Glenohumeral Joint Osteoarthritis, Rotator Cuff Tear and/or Primary or Secondary Adhesive Capsulitis","Three-arm, parallel, double-blind, masked observer, randomized, PB-Saline controlled clinical trial. In order to avoid problems in the interpretation of the final results due to disparate enrollment from various centers, the number of patients enrolled per site will be the same per site. Study patients will be randomized to receive either 20 mg sodium hyaluronate, 3 i.a. sodium hyaluronate injections, followed by 2 PBSaline mock i.a. injections or 5 i.a. PB-Saline control injections. One investigator will administer the injection and the joint assessor will be blinded to the study. The anterior or posterior approach for the shoulder injection will be used.",2002,1,Phase 3,602,Completed,Osteoarthritis,January,2001-2005,500-999
1759,Pfizer,"A Phase 2, 2-stage, 2-cohort Study Of Talazoparib (Bmn 673) Administered To Germline Brca Mutation Subjects With Locally Advanced And/or Metastatic Breast Cancer","The purpose of this 2-stage, 2-cohort Phase 2 trial is to evaluate the safety and efficacy of talazoparib (also known as BMN 673) in subjects with locally advanced or metastatic breast cancer with a deleterious germline BRCA 1 or BRCA 2 mutation. Subjects will be assigned to either Cohort 1 or 2 based on prior chemotherapy for metastatic disease: - Cohort 1) Subjects with a documented PR or CR to a prior platinum-containing regimen for metastatic disease with disease progression > 8 weeks following the last dose of platinum; or - Cohort 2) Subjects who have received > 2 prior chemotherapy regimens for metastatic disease and who have had no prior platinum therapy for metastatic disease",2013,12,Phase 2,84,Completed,Breast Neoplasms,December,2011-2015,50-99
1760,Novartis,"Prospective, Double-Blind, Multicenter Study Evaluating the Safety of Repeat Doses of IV Serelaxin in Subjects With Chronic Heart Failure",The purpose of this study was to assess the safety of repeat doses of serelaxin in chronic heart failure.,2014,5,Phase 2,321,Completed,Heart Failure,May,2011-2015,100-499
